,GrLivArea,SalePrice
215,1236,134450
216,1436,210000
217,1328,107000
218,1954,311500
219,1248,167240
220,1498,204900
221,2267,200000
222,1552,179900
223,864,97000
224,2392,386250
225,1302,112000
226,2520,290000
227,987,106000
228,912,125000
229,1555,192500
230,1194,148000
231,2794,403000
232,987,94500
233,894,128200
234,1960,216500
235,987,89500
236,1414,185500
237,1744,194500
238,1694,318000
239,1487,113000
240,1566,262500
241,866,110500
242,1440,79000
243,1217,120000
244,2110,205000
245,1872,241500
246,1928,137000
247,1375,140000
248,1668,180000
249,2144,277000
250,1306,76500
251,1625,235000
252,1640,173000
253,1302,158000
254,1314,145000
255,2291,230000
256,1728,207500
257,1604,220000
258,1792,231500
259,882,97000
260,1382,176000
261,2574,276000
262,1212,151000
263,1316,130000
264,764,73000
265,1422,175500
266,1511,185000
267,2192,179500
268,778,120500
269,1113,148000
270,1939,266000
271,1363,241500
272,2270,290000
273,1632,139000
274,816,124500
275,1548,205000
276,1560,201000
277,864,141000
278,2121,415298
279,2022,192000
280,1982,228500
281,1262,185000
282,1314,207500
283,1468,244600
284,1575,179200
285,1250,164700
286,1734,159000
287,858,88000
288,900,122000
289,1396,153575
290,1919,233230
291,1716,135900
292,1716,131000
293,2263,235000
294,1644,167000
295,1003,142500
296,1558,152000
297,1950,239000
298,1743,175000
299,1152,158500
300,1336,157000
301,2452,267000
302,1541,205000
303,894,149900
304,3493,295000
305,2000,305900
306,2243,225000
307,1406,89500
308,861,82500
309,1944,360000
310,1501,165600
311,972,132000
312,1118,119900
313,2036,375000
314,1641,178000
315,1432,188500
316,2353,260000
317,1959,270000
318,2646,260000
319,1472,187500
320,2596,342643
321,2468,354000
322,2730,301000
323,1163,126175
324,2978,242000
325,803,87000
326,1719,324000
327,1383,145250
328,2134,214500
329,1192,78000
330,1728,119000
331,1056,139000
332,1629,284000
333,1358,207000
334,1638,192000
335,1786,228950
336,1922,377426
337,1536,214000
338,1621,202500
339,1215,155000
340,1908,202900
341,841,82000
342,1040,87500
343,1684,266000
344,1112,85000
345,1577,140200
346,958,151500
347,1478,157500
348,1626,154000
349,2728,437154
350,1869,318061
351,1453,190000
352,1111,95000
353,720,105900
354,1595,140000
355,1200,177500
356,1167,173000
357,1142,134000
358,1352,130000
359,1924,280000
360,912,156000
361,1505,145000
362,1922,198500
363,987,118000
364,1574,190000
365,1344,147000
366,1394,159000
367,1431,165000
368,1268,132000
369,1287,162000
370,1664,172400
371,1588,134432
372,752,125000
373,1319,123000
374,1928,219500
375,904,61000
376,914,148000
377,2466,340000
378,1856,394432
379,1800,179000
380,1691,127000
381,1301,187750
382,1797,213500
383,784,76000
384,1953,240000
385,1269,192000
386,1184,81000
387,1125,125000
388,1479,191000
389,2332,426000
390,1367,119000
391,1961,215000
392,882,106500
393,788,100000
394,1034,109000
395,1144,129000
396,894,123000
397,1812,169500
398,1077,67000
399,1550,241000
400,1288,245500
401,1310,164990
402,672,108000
403,2263,258000
404,1572,168000
405,1620,150000
406,1639,115000
407,1680,177000
408,2172,280000
409,2078,339750
410,1276,60000
411,1056,145000
412,1478,222000
413,1028,115000
414,2097,228000
415,1340,181134
416,1400,149500
417,2624,239000
418,1134,126000
419,1056,142000
420,1344,206300
421,1602,215000
422,988,113000
423,2630,315000
424,1196,139000
425,1389,135000
426,1644,275000
427,907,109008
428,1208,195400
429,1412,175000
430,987,85400
431,1198,79900
432,1365,122500
433,1604,181000
434,630,81000
435,1661,212000
436,1118,116000
437,904,119000
438,694,90350
439,1196,110000
440,2402,555000
441,1440,118000
442,1573,162900
443,1258,172500
444,1908,210000
445,1689,127500
446,1888,190000
447,1886,199900
448,1376,119500
449,1183,120000
450,813,110000
451,1533,280000
452,1756,204000
453,1590,210000
454,1728,188000
455,1242,175500
456,1344,98000
457,1663,256000
458,1666,161000
459,1203,110000
460,1935,263435
461,1135,155000
462,864,62383
463,1660,188700
464,1040,124000
465,1414,178740
466,1277,167000
467,1644,146500
468,1634,250000
469,1710,187000
470,1502,212000
471,1969,190000
472,1072,148000
473,1976,440000
474,1652,251000
475,970,132500
476,1493,208900
477,2643,380000
478,1718,297000
479,1131,89471
480,1850,326000
481,1792,374000
482,1826,155000
483,1216,164000
484,999,132500
485,1113,147000
486,1073,156000
487,1484,175000
488,2414,160000
489,630,86000
490,1304,115000
491,1578,133000
492,1456,172785
493,1269,155000
494,886,91300
495,720,34900
496,3228,430000
497,1820,184000
498,899,130000
499,912,120000
500,1218,113000
501,1768,226700
502,1214,140000
503,1801,289000
504,1322,147000
505,1960,124500
506,1911,215000
507,1218,208300
508,1378,161000
509,1041,124500
510,1363,164900
511,1368,202665
512,864,129900
513,1080,134000
514,789,96500
515,2020,402861
516,2119,158000
517,2344,265000
518,1796,211000
519,2080,234000
520,1294,106250
521,1244,150000
522,1664,159000
523,4676,184750
524,2398,315750
525,1266,176000
526,928,132000
527,2713,446261
528,605,86000
529,2515,200624
530,1509,175000
531,1362,128000
532,827,107500
533,334,39300
534,1414,178000
535,1347,107500
536,1724,188000
537,864,111250
538,1159,158000
539,1601,272000
540,1838,315000
541,2285,248000
542,1680,213250
543,767,133000
544,1496,179665
545,2183,229000
546,1635,210000
547,768,129500
548,825,125000
549,2094,263000
550,1069,140000
551,928,112500
552,1717,255500
553,1126,108000
554,2046,284000
555,1048,113000
556,1092,141000
557,1336,108000
558,1446,175000
559,1557,234000
560,1392,121500
561,1389,170000
562,996,108000
563,1674,185000
564,2295,268000
565,1647,128000
566,2504,325000
567,1535,214000
568,2132,316600
569,943,135960
570,1728,142600
571,864,120000
572,1692,224500
573,1430,170000
574,1109,139000
575,1216,118500
576,1477,145000
577,1320,164500
578,1392,146000
579,1795,131500
580,1429,181900
581,2042,253293
582,816,118500
583,2775,325000
584,1573,133000
585,2028,369900
586,838,130000
587,860,137000
588,1473,143000
589,935,79500
590,1582,185900
591,2296,451950
592,816,138000
593,848,140000
594,924,110000
595,1826,319000
596,1368,114504
597,1402,194201
598,1647,217500
599,1556,151000
600,1904,275000
601,1375,141000
602,1915,220000
603,1200,151000
604,1494,221000
605,1986,205000
606,1040,152000
607,2008,225000
608,3194,359100
609,1029,118500
610,2153,313000
611,1032,148000
612,1872,261500
613,1120,147000
614,630,75500
615,1054,137500
616,1509,183200
617,832,105500
618,1828,314813
619,2262,305000
620,864,67000
621,2614,240000
622,980,135000
623,1512,168500
624,1790,165150
625,1116,160000
626,1422,139900
627,1520,153000
628,2080,135000
629,1350,168500
630,1750,124000
631,1554,209500
632,1411,82500
633,1056,139400
634,1056,144000
635,3395,200000
636,800,60000
637,1387,93000
638,796,85000
639,1567,264561
640,1518,274000
641,1929,226000
642,2704,345000
643,1620,152000
644,1766,370878
645,981,143250
646,1048,98300
647,1094,155000
648,1839,155000
649,630,84500
650,1665,205950
651,1510,108000
652,1716,191000
653,1469,135000
654,2113,350000
655,1092,88000
656,1053,145500
657,1502,149000
658,1458,97500
659,1486,167000
660,1935,197900
661,2448,402000
662,1392,110000
663,1181,137500
664,2097,423000
665,1936,230500
666,2380,129000
667,1679,193500
668,1437,168000
669,1180,137500
670,1476,173500
671,1369,103600
672,1208,165000
673,1839,257500
674,1136,140000
675,1441,148500
676,1774,87000
677,792,109500
678,2046,372500
679,988,128500
680,923,143000
681,1520,159434
682,1291,173000
683,1668,285000
684,1839,221000
685,2090,207500
686,1761,227875
687,1102,148800
688,1419,392000
689,1362,194700
690,848,141000
691,4316,755000
692,2519,335000
693,1073,108480
694,1539,141500
695,1137,176000
696,616,89000
697,1148,123500
698,894,138500
699,1391,196000
700,1800,312500
701,1164,140000
702,2576,361919
703,1812,140000
704,1484,213000
705,1092,55000
706,1824,302000
707,1324,254000
708,1456,179540
709,904,109900
710,729,52000
711,1178,102776
712,1228,189000
713,960,129000
714,1479,130500
715,1350,165000
716,2554,159500
717,1178,157000
718,2418,341000
719,971,128500
720,1742,275000
721,848,143000
722,864,124500
723,1470,135000
724,1698,320000
725,864,120500
726,1680,222000
727,1232,194500
728,1776,110000
729,1208,103000
730,1616,236500
731,1146,187500
732,2031,222500
733,1144,131400
734,948,108000
735,1768,163000
736,1040,93500
737,1801,239900
738,1200,179000
739,1728,190000
740,1432,132000
741,912,142000
742,1349,179000
743,1464,175000
744,1337,180000
745,2715,299800
746,2256,236000
747,2640,265979
748,1720,260400
749,1529,98000
750,1140,96500
751,1320,162000
752,1494,217000
753,2098,275500
754,1026,156000
755,1471,172500
756,1768,212000
757,1386,158900
758,1501,179400
759,2531,290000
760,864,127500
761,1301,100000
762,1547,215200
763,2365,337000
764,1494,270000
765,1506,264132
766,1714,196500
767,1750,160000
768,1836,216837
769,3279,538000
770,858,134900
771,1220,102000
772,1117,107000
773,912,114500
774,1973,395000
775,1204,162000
776,1614,221500
777,894,142500
778,2020,144000
779,1004,135000
780,1253,176000
781,1603,175900
782,1430,187100
783,1110,165500
784,1484,128000
785,1342,161500
786,1652,139000
787,2084,233000
788,901,107900
789,2087,187500
790,1145,160200
791,1062,146800
792,2013,269790
793,1496,225000
794,1895,194500
795,1564,171000
796,1285,143500
797,773,110000
798,3140,485000
799,1768,175000
800,1688,200000
801,1196,109900
802,1456,189000
803,2822,582933
804,1128,118000
805,1428,227680
806,980,135500
807,1576,223500
808,1086,159950
809,2138,106000
810,1309,181000
811,848,144500
812,1044,55993
813,1442,157900
814,1250,116000
815,1661,224900
816,1008,137000
817,1689,271000
818,1052,155000
819,1358,224000
820,1640,183000
821,936,93000
822,1733,225000
823,1489,139500
824,1489,232600
825,2084,385000
826,784,109500
827,1434,189000
828,2126,185000
829,1223,147400
830,1392,166000
831,1200,151000
832,1829,237000
833,1516,167000
834,1144,139950
835,1067,128000
836,1559,153500
837,987,100000
838,1099,144000
839,1200,130500
840,1482,140000
841,1539,157500
842,1165,174900
843,1800,141000
844,1416,153900
845,1701,171000
846,1775,213000
847,864,133500
848,2358,240000
849,1855,187000
850,848,131500
851,1456,215000
852,1646,164000
853,1445,158000
854,1779,170000
855,1040,127000
856,1026,147000
857,1481,174000
858,1370,152000
859,2654,250000
860,1426,189950
861,1039,131500
862,1097,152000
863,1148,132500
864,1372,250580
865,1002,148500
866,1646,248900
867,1120,129000
868,2320,169000
869,1949,236000
870,894,109500
871,1682,200500
872,910,116000
873,1268,133000
874,1131,66500
875,2610,303477
876,1040,132250
877,2224,350000
878,1155,148000
879,864,136500
880,1090,157000
881,1717,187500
882,1593,178000
883,2230,118500
884,892,100000
885,1709,328900
886,1712,145000
887,1393,135500
888,2217,268000
889,1505,149500
890,924,122900
891,1683,172500
892,1068,154500
893,1383,165000
894,1535,118858
895,1796,140000
896,951,106500
897,2240,142953
898,2364,611657
899,1236,135000
900,858,110000
901,1306,153000
902,1509,180000
903,1670,240000
904,902,125500
905,1063,128000
906,1636,255000
907,2057,250000
908,902,131000
909,1484,174000
910,2274,154300
911,1268,143500
912,1015,88000
913,2002,145000
914,1224,173733
915,1092,75000
916,480,35311
917,1229,135000
918,2127,238000
919,1414,176500
920,1721,201000
921,2200,145900
922,1316,169990
923,1617,193000
924,1686,207500
925,1126,175000
926,2374,285000
927,1978,176000
928,1788,236500
929,2236,222000
930,1466,201000
931,925,117500
932,1905,320000
933,1500,190000
934,2069,242000
935,747,79900
936,1200,184900
937,1971,253000
938,1962,239799
939,2403,244400
940,1728,150900
941,2060,214000
942,1440,150000
943,1632,143000
944,1344,137500
945,1869,124900
946,1144,143000
947,1629,270000
948,1776,192500
949,1381,197500
950,864,129000
951,965,119900
952,768,133900
953,1968,172000
954,980,127500
955,1958,145000
956,1229,124000
957,1057,132000
958,1337,185000
959,1416,155000
960,858,116500
961,2872,272000
962,1548,155000
963,1800,239000
964,1894,214900
965,1484,178900
966,1308,160000
967,1098,135000
968,968,37900
969,1095,140000
970,1192,135000
971,1626,173000
972,918,99500
973,1428,182000
974,2019,167500
975,1382,165000
976,869,85500
977,1241,199900
978,894,110000
979,1121,139000
980,999,178400
981,2612,336000
982,1266,159895
983,2290,255900
984,1734,126000
985,1164,125000
986,1635,117000
987,1940,395192
988,2030,195000
989,1576,197000
990,2392,348000
991,1742,168000
992,1851,187000
993,1500,173900
994,1718,337500
995,1230,121600
996,1050,136500
997,1442,185000
998,1077,91000
999,1208,206000
1000,944,82000
1001,691,86000
1002,1574,232000
1003,1680,136905
1004,1504,181000
1005,985,149900
1006,1657,163500
1007,1092,88000
1008,1710,240000
1009,1522,102000
1010,1271,135000
1011,1664,100000
1012,1502,165000
1013,1022,85000
1014,1082,119200
1015,1665,227000
1016,1504,203000
1017,1360,187500
1018,1472,160000
1019,1506,213490
1020,1132,176000
1021,1220,194000
1022,1248,87000
1023,1504,191000
1024,2898,287000
1025,882,112500
1026,1264,167500
1027,1646,293077
1028,1376,105000
1029,1218,118000
1030,1928,160000
1031,3082,197000
1032,2520,310000
1033,1654,230000
1034,954,119750
1035,845,84000
1036,1620,315500
1037,2263,287000
1038,1344,97000
1039,630,80000
1040,1803,155000
1041,1632,173000
1042,1306,196000
1043,2329,262280
1044,2524,278000
1045,1733,139600
1046,2868,556581
1047,990,145000
1048,1771,115000
1049,930,84900
1050,1302,176485
1051,1316,200141
1052,1977,165000
1053,1526,144500
1054,1989,255000
1055,1523,180000
1056,1364,185850
1057,1850,248000
1058,2184,335000
1059,1991,220000
1060,1338,213500
1061,894,81000
1062,2337,90000
1063,1103,110500
1064,1154,154000
1065,2260,328000
1066,1571,178000
1067,1611,167900
1068,2521,151400
1069,893,135000
1070,1048,135000
1071,1556,154000
1072,1456,91500
1073,1426,159500
1074,1240,194000
1075,1740,219500
1076,1466,170000
1077,1096,138800
1078,848,155900
1079,990,126000
1080,1258,145000
1081,1040,133000
1082,1459,192000
1083,1251,160000
1084,1498,187500
1085,996,147000
1086,1092,83500
1087,1953,252000
1088,1709,137500
1089,1247,197000
1090,1040,92900
1091,1252,160000
1092,1694,136500
1093,1200,146000
1094,936,129000
1095,1314,176432
1096,1355,127000
1097,1088,170000
1098,1324,128000
1099,1601,157000
1100,438,60000
1101,950,119500
1102,1134,135000
1103,1194,159500
1104,1302,106000
1105,2622,325000
1106,1442,179900
1107,2021,274725
1108,1690,181000
1109,1836,280000
1110,1658,188000
1111,1964,205000
1112,816,129900
1113,1008,134500
1114,833,117000
1115,1734,318000
1116,1419,184100
1117,894,130000
1118,1601,140000
1119,1040,133700
1120,1012,118400
1121,1552,212900
1122,960,112000
1123,698,118000
1124,1482,163900
1125,1005,115000
1126,1555,174000
1127,1530,259000
1128,1959,215000
1129,936,140000
1130,1981,135000
1131,974,93500
1132,2210,117500
1133,2020,239500
1134,1600,169000
1135,986,102000
1136,1252,119000
1137,1020,94000
1138,1567,196000
1139,1167,144000
1140,952,139000
1141,1868,197500
1142,2828,424870
1143,1006,80000
1144,924,80000
1145,1576,149000
1146,1298,180000
1147,1564,174500
1148,1111,116900
1149,1482,143000
1150,932,124000
1151,1466,149900
1152,1811,230000
1153,816,120500
1154,1820,201800
1155,1437,218000
1156,1265,179900
1157,1314,230000
1158,1580,235128
1159,1876,185000
1160,1456,146000
1161,1640,224000
1162,894,129000
1163,1258,108959
1164,1432,194000
1165,1502,233170
1166,1694,245350
1167,1671,173000
1168,2108,235000
1169,3627,625000
1170,1118,171000
1171,1261,163000
1172,1250,171900
1173,3086,200500
1174,2345,239000
1175,2872,285000
1176,923,119500
1177,1224,115000
1178,1343,154900
1179,1124,93000
1180,2514,250000
1181,1652,392500
1182,4476,745000
1183,1130,120000
1184,1572,186700
1185,1221,104900
1186,1699,95000
1187,1624,262000
1188,1660,195000
1189,1804,189000
1190,1622,168000
1191,1441,174000
1192,1472,125000
1193,1224,165000
1194,1352,158000
1195,1456,176000
1196,1863,219210
1197,1690,144000
1198,1212,178000
1199,1382,148000
1200,864,116050
1201,1779,197900
1202,1348,117000
1203,1630,213000
1204,1074,153500
1205,2196,271900
1206,1056,107000
1207,1700,200000
1208,1283,140000
1209,1660,290000
1210,1845,189000
1211,1752,164000
1212,672,113000
1213,960,145000
1214,999,134500
1215,894,125000
1216,1902,112000
1217,1314,229456
1218,912,80500
1219,1218,91500
1220,912,115000
1221,1211,134000
1222,1846,143000
1223,2136,137900
1224,1490,184000
1225,1138,145000
1226,1933,214000
1227,912,147000
1228,1702,367294
1229,1507,127000
1230,2620,190000
1231,1190,132500
1232,1224,101800
1233,1188,142000
1234,1964,130000
1235,1784,138887
1236,1626,175500
1237,1948,195000
1238,1141,142500
1239,1484,265900
1240,1768,224900
1241,1689,248328
1242,1173,170000
1243,2076,465000
1244,1517,230000
1245,1868,178000
1246,1553,186500
1247,1034,169900
1248,2058,129500
1249,988,119000
1250,2110,244000
1251,1405,171750
1252,874,130000
1253,2167,294000
1254,1656,165400
1255,1367,127500
1256,1987,301500
1257,864,99900
1258,1166,190000
1259,1054,151000
1260,1675,181000
1261,1050,128900
1262,1788,161500
1263,1824,180500
1264,1337,181000
1265,1452,183900
1266,1889,122000
1267,2018,378500
1268,3447,381000
1269,1524,144000
1270,1524,260000
1271,1489,185750
1272,935,137000
1273,1357,177000
1274,1250,139000
1275,1920,137000
1276,1395,162000
1277,1724,197900
1278,2031,237000
1279,1128,68400
1280,1573,227000
1281,1339,180000
1282,1040,150500
1283,1824,139000
1284,2447,169000
1285,1412,132500
1286,1328,143000
1287,1582,190000
1288,1659,278000
1289,1970,281000
1290,1152,180500
1291,1302,119500
1292,2372,107500
1293,1664,162900
1294,864,115000
1295,1052,138500
1296,1128,155000
1297,1072,140000
1298,5642,160000
1299,1246,154000
1300,1983,225000
1301,1494,177500
1302,2526,290000
1303,1616,232000
1304,1708,130000
1305,1652,325000
1306,1368,202500
1307,990,138000
1308,1122,147000
1309,1294,179200
1310,1902,335000
1311,1274,203000
1312,2810,302000
1313,2599,333168
1314,948,119000
1315,2112,206900
1316,1630,295493
1317,1352,208900
1318,1787,275000
1319,948,111000
1320,1478,156500
1321,720,72500
1322,1923,190000
1323,708,82500
1324,1795,147000
1325,796,55000
1326,774,79000
1327,816,130500
1328,2792,256000
1329,1632,176500
1330,1588,227000
1331,954,132500
1332,816,100000
1333,1360,125500
1334,1365,125000
1335,1334,167900
1336,1656,135000
1337,693,52500
1338,1861,200000
1339,864,128500
1340,872,123000
1341,1114,155000
1342,2169,228500
1343,1913,177000
1344,1456,155835
1345,960,108500
1346,2156,262500
1347,1776,283463
1348,1494,215000
1349,2358,122000
1350,2634,200000
1351,1716,171000
1352,1176,134900
1353,3238,410000
1354,1865,235000
1355,1920,170000
1356,892,110000
1357,1078,149900
1358,1573,177500
1359,1980,315000
1360,2601,189000
1361,1530,260000
1362,1738,104900
1363,1412,156932
1364,1200,144152
1365,1674,216000
1366,1790,193000
1367,1475,127000
1368,848,144000
1369,1668,232000
1370,1374,105000
1371,1661,165500
1372,2097,274300
1373,2633,466500
1374,1958,250000
1375,1571,239000
1376,790,91000
1377,1604,117000
1378,987,83000
1379,1394,167500
1380,864,58500
1381,2117,237500
1382,1762,157000
1383,1416,112000
1384,1258,105000
1385,1154,125500
1386,2784,250000
1387,2526,136000
1388,1746,377500
1389,1218,131000
1390,1525,235000
1391,1584,124000
1392,900,123000
1393,1912,163000
1394,1500,246578
1395,2482,281213
1396,1687,160000
1397,1513,137500
1398,1904,138000
1399,1608,137450
1400,1158,120000
1401,1593,193000
1402,1294,193879
1403,1464,282922
1404,1214,105000
1405,1646,275000
1406,768,133000
1407,833,112000
1408,1363,125500
1409,2093,215000
1410,1840,230000
1411,1668,140000
1412,1040,90000
1413,1844,257000
1414,1848,207000
1415,1569,175900
1416,2290,122500
1417,2450,340000
1418,1144,124000
1419,1844,223000
1420,1416,179900
1421,1069,127500
1422,848,136500
1423,2201,274970
1424,1344,144000
1425,1252,142000
1426,2127,271000
1427,1558,140000
1428,804,119000
1429,1440,182900
1430,1838,192140
1431,958,143750
1432,968,64500
1433,1792,186500
1434,1126,160000
1435,1537,174000
1436,864,120500
1437,1932,394617
1438,1236,149700
1439,1725,197000
1440,2555,191000
1441,848,149300
1442,2007,310000
1443,952,121000
1444,1422,179600
1445,913,129000
1446,1188,157900
1447,2090,240000
1448,1346,112000
1449,630,92000
1450,1792,136000
1451,1578,287090
1452,1072,145000
1453,1140,84500
1454,1221,185000
1455,1647,175000
1456,2073,210000
1457,2340,266500
1458,1078,142125
1459,1256,147500
